ROUTE,flights_count,avg_arrival_delay,median_arrival_delay,cancel_rate,diverted_rate,avg_distance,cluster
ATL-LIT,39,-0.10256410256410256,-3.0,0.0,0.0,727.1763892259552,0
ATL-MCI,52,-3.480769230769231,-8.0,0.0,0.0,1113.2100312752516,0
ATL-MCO,156,7.535483870967742,-3.0,0.00641025641025641,0.0,650.7990358251087,0
ATL-MDT,14,-9.357142857142858,-13.5,0.0,0.0,996.7484817567216,0
ATL-MDW,63,1.9491525423728813,-6.0,0.047619047619047616,0.015873015873015872,951.5922863794502,0
ATL-MEM,48,-0.16666666666666666,-9.0,0.0,0.0,532.7598027402429,0
ATL-MGM,35,4.9714285714285715,-6.0,0.0,0.0,236.35204057131185,0
ATL-MHT,9,-4.111111111111111,-6.0,0.0,0.0,1530.7379519327358,0
ATL-MIA,98,0.2653061224489796,-3.0,0.0,0.0,959.3894787756445,0
ATL-MKE,57,-2.6842105263157894,-9.0,0.0,0.0,1077.9819604257168,0
ATL-MLB,24,0.3333333333333333,-7.5,0.0,0.0,713.5625228816762,0
ATL-MLI,8,2.125,-0.5,0.0,0.0,1019.7380564515267,0
ATL-MLU,16,20.785714285714285,10.0,0.0625,0.0625,719.9968691301463,1
ATL-MOB,44,4.953488372093023,-8.0,0.022727272727272728,0.0,486.2754663059664,0
ATL-MSN,16,-14.75,-16.5,0.0,0.0,1139.1460327947502,0
ATL-MSP,86,-1.6162790697674418,-6.5,0.0,0.0,1459.0547748273366,0
ATL-MSY,103,3.4653465346534653,-6.0,0.009708737864077669,0.009708737864077669,683.9001469017398,0
ATL-MYR,21,3.9047619047619047,3.0,0.0,0.0,508.8662067364089,0
ATL-OAJ,22,12.818181818181818,0.5,0.0,0.0,640.1306147380254,0
ATL-OKC,21,-4.761904761904762,-9.0,0.0,0.0,1221.659760891799,0
ATL-OMA,28,-2.814814814814815,-6.0,0.03571428571428571,0.0,1320.7990055031817,0
ATL-ORD,129,4.6299212598425195,-4.0,0.015503875968992248,0.0,976.0579049102032,0
ATL-ORF,47,6.739130434782608,-1.5,0.02127659574468085,0.0,829.4147180843357,0
